"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
1,2,3,4,5,6,7,8,9,10,11,12,13,13.00,14
00,000,00000,INDIA,INDIA @&,Total,"597,608","43,324","7,933","249,501,663","1,210,854,977","623,270,258","587,584,719",3287469.00,382
00,000,00000,INDIA,INDIA $,Rural,"597,608","43,324",0,"168,612,897","833,748,852","427,781,058","405,967,794",3101473.97,279
00,000,00000,INDIA,INDIA $,Urban,0,0,"7,933","80,888,766","377,106,125","195,489,200","181,616,925",102252.03,"3,685"
01,000,00000,STATE,JAMMU & KASHMIR @&,Total,"6,337",216,122,"2,119,718","12,541,302","6,640,662","5,900,640",222236.00,124
01,000,00000,STATE,JAMMU & KASHMIR,Rural,"6,337",216,0,"1,553,433","9,108,060","4,774,477","4,333,583",220990.10,91
01,000,00000,STATE,JAMMU & KASHMIR,Urban,0,0,122,"566,285","3,433,242","1,866,185","1,567,057",1245.90,"2,755"
01,001,00000,DISTRICT,Kupwara,Total,353,9,10,"113,929","870,354","474,190","396,164",2379.00,366
01,001,00000,DISTRICT,Kupwara,Rural,353,9,0,"101,930","765,625","412,038","353,587",2331.66,328
01,001,00000,DISTRICT,Kupwara,Urban,0,0,10,"11,999","104,729","62,152","42,577",47.34,"2,212"
01,001,00001,SUB-DISTRICT,Kupwara,Total,118,4,7,"63,022","540,914","297,837","243,077",301.94,"1,791"
01,001,00001,SUB-DISTRICT,Kupwara,Rural,118,4,0,"56,014","465,323","252,856","212,467",275.03,"1,692"
01,001,00001,SUB-DISTRICT,Kupwara,Urban,0,0,7,"7,008","75,591","44,981","30,610",26.91,"2,809"
01,001,00002,SUB-DISTRICT,Handwara,Total,196,3,1,"39,485","269,311","141,882","127,429",291.47,924
01,001,00002,SUB-DISTRICT,Handwara,Rural,196,3,0,"37,474","255,711","134,503","121,208",282.97,904
01,001,00002,SUB-DISTRICT,Handwara,Urban,0,0,1,"2,011","13,600","7,379","6,221",8.50,"1,600"
01,001,00003,SUB-DISTRICT,Karnah,Total,39,2,2,"11,422","60,129","34,471","25,658",69.89,860
01,001,00003,SUB-DISTRICT,Karnah,Rural,39,2,0,"8,442","44,591","24,679","19,912",57.96,769
01,001,00003,SUB-DISTRICT,Karnah,Urban,0,0,2,"2,980","15,538","9,792","5,746",11.93,"1,302"
01,002,00000,DISTRICT,Badgam,Total,462,12,9,"103,363","753,745","398,041","355,704",1361.00,554
01,002,00000,DISTRICT,Badgam,Rural,462,12,0,"89,417","655,833","343,385","312,448",1311.95,500
01,002,00000,DISTRICT,Badgam,Urban,0,0,9,"13,946","97,912","54,656","43,256",49.05,"1,996"
01,002,00004,SUB-DISTRICT,Khag,Total,49,0,0,"8,799","67,596","34,457","33,139",61.12,"1,106"
01,002,00004,SUB-DISTRICT,Khag,Rural,49,0,0,"8,799","67,596","34,457","33,139",61.12,"1,106"
01,002,00004,SUB-DISTRICT,Khag,Urban,0,0,0,0,0,0,0,0.00,0
01,002,00005,SUB-DISTRICT,Beerwah,Total,102,2,2,"20,914","163,333","87,277","76,056",134.07,"1,218"
01,002,00005,SUB-DISTRICT,Beerwah,Rural,102,2,0,"19,161","149,671","80,103","69,568",126.77,"1,181"
01,002,00005,SUB-DISTRICT,Beerwah,Urban,0,0,2,"1,753","13,662","7,174","6,488",7.30,"1,872"
01,002,00006,SUB-DISTRICT,Khansahib,Total,96,3,1,"16,432","123,312","64,227","59,085",125.91,979
01,002,00006,SUB-DISTRICT,Khansahib,Rural,96,3,0,"16,080","120,682","62,783","57,899",121.61,992
01,002,00006,SUB-DISTRICT,Khansahib,Urban,0,0,1,352,"2,630","1,444","1,186",4.30,612
01,002,00007,SUB-DISTRICT,Budgam,Total,95,2,2,"19,774","133,855","70,182","63,673",146.16,916
01,002,00007,SUB-DISTRICT,Budgam,Rural,95,2,0,"16,517","111,056","57,359","53,697",131.44,845
01,002,00007,SUB-DISTRICT,Budgam,Urban,0,0,2,"3,257","22,799","12,823","9,976",14.72,"1,549"
01,002,00008,SUB-DISTRICT,Chadoora,Total,104,4,3,"30,390","212,233","113,529","98,704",194.67,"1,090"
01,002,00008,SUB-DISTRICT,Chadoora,Rural,104,4,0,"23,904","164,945","86,218","78,727",172.74,955
01,002,00008,SUB-DISTRICT,Chadoora,Urban,0,0,3,"6,486","47,288","27,311","19,977",21.93,"2,156"
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Total,16,1,1,"7,054","53,416","28,369","25,047",58.85,908
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Rural,16,1,0,"4,956","41,883","22,465","19,418",58.05,721
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Urban,0,0,1,"2,098","11,533","5,904","5,629",0.80,"14,416"
01,003,00000,DISTRICT,Leh(Ladakh),Total,111,1,3,"21,909","133,487","78,971","54,516",45110.00,3
01,003,00000,DISTRICT,Leh(Ladakh),Rural,111,1,0,"14,905","87,816","48,411","39,405",45085.99,2
01,003,00000,DISTRICT,Leh(Ladakh),Urban,0,0,3,"7,004","45,671","30,560","15,111",24.01,"1,902"
01,003,00010,SUB-DISTRICT,Leh,Total,60,1,3,"15,497","93,961","56,597","37,364",171.06,549
01,003,00010,SUB-DISTRICT,Leh,Rural,60,1,0,"8,493","48,290","26,037","22,253",147.05,328
01,003,00010,SUB-DISTRICT,Leh,Urban,0,0,3,"7,004","45,671","30,560","15,111",24.01,"1,902"
01,003,00011,SUB-DISTRICT,Nubra,Total,28,0,0,"3,606","22,433","13,740","8,693",166.82,134
01,003,00011,SUB-DISTRICT,Nubra,Rural,28,0,0,"3,606","22,433","13,740","8,693",166.82,134
01,003,00011,SUB-DISTRICT,Nubra,Urban,0,0,0,0,0,0,0,0.00,0
01,003,00012,SUB-DISTRICT,Khalsi,Total,23,0,0,"2,806","17,093","8,634","8,459",56.01,305
01,003,00012,SUB-DISTRICT,Khalsi,Rural,23,0,0,"2,806","17,093","8,634","8,459",56.01,305
01,003,00012,SUB-DISTRICT,Khalsi,Urban,0,0,0,0,0,0,0,0.00,0
01,004,00000,DISTRICT,Kargil,Total,125,2,1,"18,338","140,802","77,785","63,017",14036.00,10
01,004,00000,DISTRICT,Kargil,Rural,125,2,0,"16,147","124,464","67,703","56,761",14033.86,9
01,004,00000,DISTRICT,Kargil,Urban,0,0,1,"2,191","16,338","10,082","6,256",2.14,"7,635"
01,004,00013,SUB-DISTRICT,Kargil,Total,64,2,1,"10,867","86,461","49,431","37,030",84.16,"1,027"
01,004,00013,SUB-DISTRICT,Kargil,Rural,64,2,0,"8,676","70,123","39,349","30,774",82.02,855
01,004,00013,SUB-DISTRICT,Kargil,Urban,0,0,1,"2,191","16,338","10,082","6,256",2.14,"7,635"
01,004,00014,SUB-DISTRICT,Sanku,Total,36,0,0,"5,144","40,548","21,346","19,202",60.49,670
01,004,00014,SUB-DISTRICT,Sanku,Rural,36,0,0,"5,144","40,548","21,346","19,202",60.49,670
01,004,00014,SUB-DISTRICT,Sanku,Urban,0,0,0,0,0,0,0,0.00,0
01,004,00015,SUB-DISTRICT,Zanskar,Total,25,0,0,"2,327","13,793","7,008","6,785",43.11,320
01,004,00015,SUB-DISTRICT,Zanskar,Rural,25,0,0,"2,327","13,793","7,008","6,785",43.11,320
01,004,00015,SUB-DISTRICT,Zanskar,Urban,0,0,0,0,0,0,0,0.00,0
01,005,00000,DISTRICT,Punch,Total,170,8,3,"90,261","476,835","251,899","224,936",1674.00,285
01,005,00000,DISTRICT,Punch,Rural,170,8,0,"83,045","438,205","229,774","208,431",1649.92,266
01,005,00000,DISTRICT,Punch,Urban,0,0,3,"7,216","38,630","22,125","16,505",24.08,"1,604"
01,005,00016,SUB-DISTRICT,Haveli,Total,49,2,1,"25,558","132,767","71,538","61,229",278.42,477
01,005,00016,SUB-DISTRICT,Haveli,Rural,49,2,0,"20,615","105,913","55,475","50,438",268.06,395
01,005,00016,SUB-DISTRICT,Haveli,Urban,0,0,1,"4,943","26,854","16,063","10,791",10.36,"2,592"
01,005,00017,SUB-DISTRICT,Mandi,Total,37,0,0,"16,313","77,947","41,365","36,582",196.28,397
01,005,00017,SUB-DISTRICT,Mandi,Rural,37,0,0,"16,313","77,947","41,365","36,582",196.28,397
01,005,00017,SUB-DISTRICT,Mandi,Urban,0,0,0,0,0,0,0,0.00,0
01,005,00018,SUB-DISTRICT,Mendhar,Total,51,5,1,"25,334","141,366","73,297","68,069",424.69,333
01,005,00018,SUB-DISTRICT,Mendhar,Rural,51,5,0,"24,428","136,333","70,776","65,557",415.84,328
01,005,00018,SUB-DISTRICT,Mendhar,Urban,0,0,1,906,"5,033","2,521","2,512",8.85,569
01,005,00019,SUB-DISTRICT,Surankote,Total,33,1,1,"23,056","124,755","65,699","59,056",250.23,499
01,005,00019,SUB-DISTRICT,Surankote,Rural,33,1,0,"21,689","118,012","62,158","55,854",245.36,481
01,005,00019,SUB-DISTRICT,Surankote,Urban,0,0,1,"1,367","6,743","3,541","3,202",4.87,"1,385"
01,006,00000,DISTRICT,Rajouri,Total,375,10,4,"130,401","642,415","345,351","297,064",2630.00,244
01,006,00000,DISTRICT,Rajouri,Rural,375,10,0,"122,645","590,101","310,748","279,353",2608.11,226
01,006,00000,DISTRICT,Rajouri,Urban,0,0,4,"7,756","52,314","34,603","17,711",21.89,"2,390"
01,006,00020,SUB-DISTRICT,Thanamandi,Total,32,0,1,"13,644","67,773","35,472","32,301",148.69,456
